# Integrated source spectrum
# Creator: SoFiA 2.0.1
#
# Description of columns:
#
# - Channel       Spectral channel number.
#
# - Velocity      Radial velocity corresponding to the channel number as
#                 described by the WCS information in the header.
#
# - Frequency     Frequency corresponding to the channel number as described
#                 by the WCS information in the header.
#
# - Flux density  Sum of flux density values of all spatial pixels covered
#                 by the source in that channel. If the unit is Jy, then
#                 the flux density has already been corrected for the solid
#                 angle of the beam. If instead the unit is Jy/beam, you
#                 will need to manually divide by the beam area which, for
#                 Gaussian beams, will be
#
#                   pi * a * b / (4 * ln(2))
#
#                 where a and b are the major and minor axis of the beam in
#                 units of pixels.
#
# - Pixels        Number of spatial pixels covered by the source in that
#                 channel. This can be used to determine the statistical
#                 uncertainty of the summed flux value. Again, this has
#                 not yet been corrected for any potential spatial correla-
#                 tion of pixels due to the beam solid angle!
#
# Note that a WCS-related column will only be present if WCS conversion was
# explicitly requested when running the pipeline.
#
#
#  Channel          FREQ          Flux density    Pixels
#        -          Hz                      Jy         -
#
      1671     1.4119074e+09     0.0000000e+00         0
      1672     1.4119259e+09     0.0000000e+00         0
      1673     1.4119444e+09     0.0000000e+00         0
      1674     1.4119630e+09     0.0000000e+00         0
      1675     1.4119815e+09     0.0000000e+00         0
      1676     1.4120000e+09     0.0000000e+00         0
      1677     1.4120185e+09     0.0000000e+00         0
      1678     1.4120370e+09     0.0000000e+00         0
      1679     1.4120556e+09     0.0000000e+00         0
      1680     1.4120741e+09     0.0000000e+00         0
      1681     1.4120926e+09     3.9508845e-03        19
      1682     1.4121111e+09     0.0000000e+00         0
      1683     1.4121296e+09     4.0176668e-04         4
      1684     1.4121481e+09     1.9338041e-03        15
      1685     1.4121667e+09     8.2485990e-03        41
      1686     1.4121852e+09     3.6260356e-03        42
      1687     1.4122037e+09     1.0453070e-02        41
      1688     1.4122222e+09     1.1641020e-02        43
      1689     1.4122407e+09    -4.0025021e-04        36
      1690     1.4122593e+09    -3.6296862e-03       124
      1691     1.4122778e+09     1.2196384e-02       215
      1692     1.4122963e+09     2.6866140e-02       273
      1693     1.4123148e+09     1.7691927e-02       288
      1694     1.4123333e+09     2.6720319e-02       349
      1695     1.4123519e+09     5.0261585e-02       361
      1696     1.4123704e+09     4.2275770e-02       381
      1697     1.4123889e+09     4.6633727e-02       364
      1698     1.4124074e+09     5.1309826e-02       395
      1699     1.4124259e+09     4.4786683e-02       389
      1700     1.4124444e+09     3.4191905e-02       418
      1701     1.4124630e+09     3.2770813e-02       416
      1702     1.4124815e+09     1.4086693e-02       443
      1703     1.4125000e+09     2.5493270e-02       459
      1704     1.4125185e+09     6.9779994e-03       437
